Scenario,Elevation,GlazingSystem,FanEnergy(kBtu),HeatingEnergy(kBtu),CoolingEnergy(kBtu),LightingEnergy(kBtu),AnnualEnergy(kBtu),FanEnergy(kBtu/sf),HeatingEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),LightingEnergy(kBtu/sf),EUI(kBtu/sf),CO2_Electric(lb/sf),FanCost($),HeatingCost($),CoolingCost($),LightingCost($),AnnualCost($),FanCost($/sf),HeatingCost($/sf),CoolingCost($/sf),LightingCost($/sf),AnnualCost($/sf)
e-singletint,east,existing,2916.6983462694966,826.1487286157346,16437.732766470195,461.9480561829591,20642.52789753863,15.555724513436706,4.406126552617251,87.66790808784107,2.4637229663092475,110.09348212020497,12.146613882322335,64.96479290746927,18.401142214083116,366.1242193275843,10.28915446203646,459.7793089111672,0.3464788955064324,0.09813942514177665,1.9526625030804536,0.054875490464197964,2.4521563141929272
e-singletint-clear,east,clear panel,3122.4179135107975,126.87886945847298,15462.603992195835,461.9480561829591,19173.848831348023,16.65289553872464,0.6766873037785224,82.46722129171108,2.4637229663092475,102.26052710052187,11.282403955000493,69.54686739588183,2.826023983332172,344.40478476217345,10.28915446203646,427.0668306034181,0.37091662611139953,0.015072127911104922,1.8368255187315858,0.054875490464197964,2.2776897632182407
e-singletint-lowe,east,lowe panel,2205.714847652588,285.0830739287278,11907.535301180911,461.9480561829591,14860.28127894535,11.763812520812094,1.5204430609532187,63.50685493963135,2.4637229663092475,79.25483348770872,8.74418577869886,49.12877208365703,6.34976972606405,265.2213129509766,10.28915446203646,330.98900922274055,0.262020117779503,0.03386543853900829,1.4145136690718776,0.054875490464197964,1.7652747158546207
n-singletint,north,existing,874.6665511814896,1745.0520803837478,7991.155691934971,461.9480561829591,11072.822379683212,4.664888272966876,9.306944428713347,42.61949702365323,2.4637229663092475,59.05505269164331,6.5155439634690255,19.48179914911955,38.86824537747213,177.9902180428949,10.28915446203646,246.62941703152424,0.10390292879528555,0.20729730867985116,0.9492811628954416,0.054875490464197964,1.3153568908348017
n-singletint-clear,north,clear panel,1122.6234631117245,543.5247155309402,9048.472790645936,461.9480561829591,11176.569025471426,5.9873251365954845,2.8987984828316837,48.258521550111695,2.4637229663092475,59.608368135848075,6.5765912564281415,25.004642968099695,12.10614413716044,201.5402661454477,10.28915446203646,248.9402077127406,0.13335809582982558,0.06456610206485561,1.074881419442387,0.054875490464197964,1.3276811078013013
n-singletint-lowe,north,lowe panel,930.3064513090094,726.1104917866228,7602.594655671445,461.9480561829591,9720.959654950002,4.961634406979661,3.8725892895286713,40.547171496914274,2.4637229663092475,51.84511815973219,5.7200718865632485,20.721088976191165,16.17295041401466,169.33564213001148,10.28915446203646,216.51883598225228,0.11051247453966762,0.0862557355414112,0.9031234246933982,0.054875490464197964,1.1547671252386846
s-singletint,south,existing,7600.733568680955,213.48943006708,22054.182366013814,461.9480561829591,30330.35342094369,40.53724569962801,1.1386102936910922,117.62230595207399,2.4637229663092475,161.7618849116993,17.84718876230781,169.2941893925155,4.755135761632488,491.22165546671533,10.28915446203646,675.5601350828721,0.902902343426636,0.025360724062039923,2.61984882915582,0.054875490464197964,3.6029873871086764
s-singletint-clear,south,clear panel,6569.534102046966,8.677794352855969,19839.788883361776,461.9480561829591,26879.948835946063,35.037515210925164,0.0462815698818985,105.81220737792943,2.4637229663092475,143.359727125046,15.81687869370629,146.3258697917833,0.19328399652569384,441.89958066246965,10.28915446203646,598.707888912796,0.7804046388893613,0.0010308479814703673,2.3567977635331663,0.054875490464197964,3.1931087408682663
s-singletint-lowe,south,lowe panel,4666.451555991735,63.53097267917272,14861.299754161088,461.9480561829591,20053.230339014717,24.887741631954892,0.3388318542889215,79.26026535552583,2.4637229663092475,106.95056180807843,11.799855484285404,103.93774842553407,1.4150508531645287,331.0116941299951,10.28915446203646,446.65364787072207,0.554334658269399,0.007546937883544157,1.7653957020266466,0.054875490464197964,2.3821527886438636
w-singletint,west,existing,2724.541310168276,895.6584862539609,16948.506784196943,461.9480561829591,21030.654636802064,14.530886987564726,4.776845260021121,90.39203618238344,2.4637229663092475,112.16349139627759,12.374998005751284,60.68480211856766,19.949360944275444,377.5008940277881,10.28915446203646,468.4242115526616,0.3236522779656707,0.10639659170280243,2.0133381014815384,0.054875490464197964,2.4982624616141886
w-singletint-clear,west,clear panel,2784.36204894207,150.18028323908706,15783.296202555823,461.9480561829591,19179.78659091945,14.849930927687844,0.8009615106084645,84.17757974696445,2.4637229663092475,102.29219515157085,11.285897891072795,62.017213442816306,3.3450257246829262,351.54769107599316,10.28915446203646,427.19908470552485,0.3307584716949446,0.01784013719830893,1.8749210190719605,0.054875490464197964,2.2783951184294358
w-singletint-lowe,west,lowe panel,2077.22482367298,315.49165104820446,12249.854889917327,461.9480561829591,15104.519420821263,11.07853239292061,1.6826221389237592,65.33255941289242,2.4637229663092475,80.5574369110469,8.887902014395825,46.26686220901984,7.027072168980076,272.84593454370076,10.28915446203646,336.4290233837442,0.24675659844811168,0.03747771823456036,1.4551783175664037,0.054875490464197964,1.794288124713292
